name,url,description,test_type,remote_testing,adaptive_irt,duration_minutes,skills_covered,skill_domains,assessment_category,job_roles,seniority_levels,assessment_focus,keywords
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles. ""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","B, P, S",Yes,No,30.0,"[""communication"", ""problem-solving"", ""time-management"", ""customer-service"", ""teamwork"", ""adaptability"", ""empathy"", ""active-listening"", ""conflict-resolution"", ""verbal-communication""]","[""Customer Service"", ""Communication"", ""Problem Solving"", ""Time Management"", ""Teamwork""]",Mixed,"[""Call Center Representative"", ""Contact Center Representative"", ""Contact Center Agent"", ""Customer Service Agent"", ""Customer Service Representative""]","[""Entry-level""]",Customer Service and Communication Skills,"[""customer-service"", ""communication"", ""problem-solving"", ""time-management"", ""teamwork"", ""adaptability"", ""empathy"", ""active-listening"", ""conflict-resolution"", ""verbal-communication""]"
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.",K,Yes,No,9.0,"[""cyber-risk-management"", ""system-security"", ""network-security"", ""security-management""]","[""Cyber Security""]",Technical,[],[],Cyber Risk Management,"[""cyber-risk-management"", ""system-security"", ""network-security"", ""security-management""]"
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,S,Yes,No,4.0,"[""Data Entry"", ""Transcription"", ""Verification""]","[""Administrative"", ""Data Management""]",Technical,"[""Data Entry Clerk"", ""Administrative Assistant""]","[""Entry-Level""]",Accuracy and Speed,"[""Data Entry"", ""Transcription"", ""Verification"", ""Accuracy"", ""Speed""]"
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.",K,Yes,No,5.0,"[""Data Entry"", ""Alphanumeric Typing""]","[""Administrative"", ""Data Management""]",Technical,"[""Data Entry Clerk"", ""Administrative Assistant""]","[""Entry-Level""]",Speed and Accuracy,"[""Data Entry"", ""Alphanumeric Typing"", ""Speed"", ""Accuracy""]"
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.",K,Yes,No,5.0,"[""Data Entry"", ""Numeric Typing""]","[""Administrative"", ""Data Management""]",Technical,"[""Data Entry Clerk"", ""Administrative Assistant""]","[""Entry-Level""]",Speed and Accuracy,"[""Data Entry"", ""Numeric Typing"", ""Speed"", ""Accuracy""]"
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,K,Yes,No,3.0,"[""Data Entry"", ""Ten Key"", ""Split Screen""]","[""Data Entry"", ""Keyboarding""]",Technical,"[""Data Entry Clerk""]","[""Entry Level""]",Accuracy and Speed,"[""Data Entry"", ""Ten Key"", ""Split Screen""]"
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.",K,Yes,No,14.0,"[""Data Science"", ""Machine Learning"", ""Data Analysis""]","[""Data Science"", ""Machine Learning""]",Technical,"[""Data Scientist""]","[""Mid Level""]",Conceptual Knowledge,"[""Data Science"", ""Machine Learning"", ""Data Analysis""]"
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.",K,Yes,Yes,25.0,"[""Data Warehousing"", ""Big Data"", ""Data Transformation""]","[""Data Warehousing"", ""Big Data""]",Technical,"[""Data Architect""]","[""Senior Level""]",Knowledge of Data Warehousing,"[""Data Warehousing"", ""Big Data"", ""Data Transformation""]"
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors. Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase",P,Yes,No,10.0,[],[],Behavioral,"[""entry-level roles""]","[""entry-level""]",dependability and reliability,"[""dependability"", ""reliability"", ""safety""]"
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.",K,Yes,No,3.0,[],[],Technical,[],[],knowledge of various diseases related to skin,"[""dermatology"", ""skin diseases"", ""symptoms"", ""drugs"", ""terminologies""]"
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.",K,Yes,No,8.0,[],[],Technical,"[""Desktop Support""]",[],"networking, peripheral components, operating systems, troubleshooting","[""networking"", ""peripheral components"", ""operating systems"", ""troubleshooting"", ""technical support""]"
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,K,Yes,No,7.0,"[""AdWords"", ""digital media analysis""]","[""Digital Marketing""]",Technical,"[""Digital Marketing Specialist""]","[""Entry-level"", ""Mid-level""]",Knowledge,"[""digital advertising"", ""ad performance"", ""adwords""]"
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the questionnaire. Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (see Digital Readiness Report - Managers).",P,Yes,No,,[],[],Behavioral,"[""Individual Contributor""]","[""Entry-level""]",Behavior,"[""digital readiness"", ""SHL's Digital Readiness Framework""]"
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the questionnaire. Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (see Digital Readiness Report - IC).",P,Yes,No,,[],[],Behavioral,"[""Manager""]","[""Mid-level"", ""Senior-level""]",Behavior,"[""digital readiness"", ""SHL's Digital Readiness Framework""]"
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.",K,Yes,No,10.0,"[""Docker container"", ""data management"", ""Docker performance"", ""swarm""]","[""Software Development"", ""Cloud Computing""]",Technical,"[""Software Engineer"", ""DevOps Engineer""]","[""Junior"", ""Mid-level""]",Knowledge of Docker,"[""Docker"", ""containerization"", ""cloud computing""]"
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.",K,Yes,No,11.0,"[""Dojo architecture"", ""classes and libraries"", ""styles"", ""animation"", ""Dojo queries""]","[""Software Development"", ""Front-end Development""]",Technical,"[""Front-end Developer"", ""Software Engineer""]","[""Junior"", ""Mid-level""]",Knowledge of Dojo,"[""Dojo"", ""JavaScript"", ""front-end development""]"
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.",K,Yes,No,17.0,"[""Drupal setup"", ""content management"", ""user interface"", ""module development"", ""security""]","[""Software Development"", ""Content Management""]",Technical,"[""Software Engineer"", ""Content Manager""]","[""Junior"", ""Mid-level""]",Knowledge of Drupal,"[""Drupal"", ""content management"", ""web development""]"
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,DSI v1.1 Interpretation Report,P,Yes,No,,[],[],Technical,[],[],,[]
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.",K,Yes,No,11.0,"[""statistical concepts"", ""exploratory analysis"", ""statistical testing""]","[""economics"", ""data analysis""]",Technical,"[""Data Analyst"", ""Economist""]","[""Junior"", ""Mid-level""]",Knowledge of statistical concepts,"[""econometrics"", ""data analysis"", ""statistics""]"
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.",K,Yes,No,13.0,"[""microeconomics"", ""macroeconomics"", ""international trade""]","[""economics"", ""finance""]",Technical,"[""Economist"", ""Financial Analyst""]","[""Mid-level"", ""Senior""]",Conceptual knowledge of economics,"[""microeconomics"", ""macroeconomics"", ""international trade""]"
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.",K,Yes,No,14.0,"[""Electrical Engineering"", ""Instrumentation and Control System"", ""Electronics""]","[""Electrical Engineering"", ""Electronics""]",Technical,"[""Electrical Engineer"", ""Electronics Engineer""]","[""Junior"", ""Mid-level""]","Fundamentals of electrical engineering, instrumentation and control system and electronics","[""Electrical Engineering"", ""Electronics"", ""Instrumentation"", ""Control System""]"
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.",K,Yes,No,8.0,"[""Basic Electrical Engineering"", ""Electrical Machines"", ""Power Systems"", ""Instrumentation"", ""Control Systems"", ""Basic Concepts of Electronics""]","[""Electrical Engineering"", ""Electronics""]",Technical,"[""Electrical Engineer"", ""Electronics Engineer""]","[""Junior"", ""Mid-level""]","Basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics","[""Electrical Engineering"", ""Electrical Machines"", ""Power Systems"", ""Instrumentation"", ""Control Systems""]"
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.",K,Yes,No,15.0,"[""Semiconductors and Semiconductor Devices"", ""Analog and Digital Electronics"", ""Communication"", ""Electromagnetism"", ""Microwave Engineering""]","[""Electronics"", ""Telecommunications""]",Technical,"[""Electronics Engineer"", ""Telecommunications Engineer""]","[""Junior"", ""Mid-level""]","Semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering","[""Semiconductors"", ""Semiconductor Devices"", ""Analog Electronics"", ""Digital Electronics"", ""Communication""]"
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,"Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.",K,Yes,No,18.0,"[""Embedded Systems"", ""Analog Electronics"", ""Digital Electronics""]","[""Electronics"", ""Engineering""]",Technical,"[""Electronics Engineer"", ""Embedded Systems Engineer""]","[""Junior"", ""Mid-level""]",Knowledge and understanding,"[""Electronics"", ""Embedded Systems"", ""Engineering"", ""Test"", ""Assessment""]"
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.",K,Yes,No,7.0,"[""Semiconductors"", ""Analog Electronics"", ""Digital Electronics"", ""VLSI""]","[""Electronics"", ""Engineering""]",Technical,"[""Electronics Engineer"", ""Semiconductor Engineer""]","[""Junior"", ""Mid-level""]",Knowledge of semiconductors and electronics,"[""Electronics"", ""Semiconductors"", ""Engineering"", ""Test"", ""Assessment""]"
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",K,Yes,No,0.0,"[""Vocabulary"", ""Grammar"", ""Reading Comprehension""]","[""Language"", ""Literacy""]",Cognitive,"[""English Teacher"", ""Content Writer""]","[""Junior"", ""Mid-level""]",Language skills,"[""English"", ""Comprehension"", ""Vocabulary"", ""Grammar"", ""Test"", ""Assessment""]"
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,"Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency.",K,Yes,No,4.0,"[""Java"", ""EJB"", ""Transactions"", ""Concurrency""]","[""Software Development"", ""Enterprise Architecture""]",Technical,"[""Software Engineer"", ""DevOps Engineer""]","[""Junior"", ""Mid-level""]",Knowledge of enterprise Java beans,"[""Java"", ""EJB"", ""Enterprise"", ""Software Development""]"
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment. For more information, visit: https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .",P,Yes,No,,[],[],Behavioral,"[""Leader"", ""Manager""]","[""Senior"", ""Executive""]",Leadership skills,"[""Leadership"", ""Management"", ""Enterprise""]"
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment. For more information, visit: https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .",P,Yes,No,,[],[],Behavioral,"[""Leader"", ""Manager""]","[""Senior"", ""Executive""]",Leadership skills,"[""Leadership"", ""Management"", ""Enterprise""]"
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,"The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Report Language Availability: English (USA)","C, P",Yes,No,19.0,"[""Cash Handling"", ""Customer Service"", ""Communication""]","[""Retail"", ""Customer Service""]",Technical,"[""Cashier"", ""Retail Associate""]","[""Entry Level""]",Job Task Analysis,"[""cash handling"", ""customer service"", ""retail""]"
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,"The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers. Report Language Availability: English (USA)","P, C",Yes,No,19.0,"[""Customer Service"", ""Communication"", ""Problem Solving""]","[""Customer Service"", ""Retail""]",Behavioral,"[""Customer Service Representative"", ""Retail Associate""]","[""Entry Level""]",Behavioral Interview,"[""customer service"", ""communication"", ""problem solving""]"
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,"The Precise Fit Entry Level Customer Service Solution (General) is for a wide range of entry-level positions where employees are expected to interact with customers when carrying out critical tasks of the job. This includes positions that require frequent interactions with customers, or positions where customer service is not central to the role, but is still essential for successful performance on the job. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone to provide information; taking orders; solving product or service issues; and responding positively to difficult or irate customers. Report Language Availability: English (USA)","C, P",Yes,No,14.0,"[""Customer Service"", ""Communication"", ""Problem Solving""]","[""Customer Service""]",Behavioral,"[""Customer Service Representative""]","[""Entry Level""]",Behavioral Interview,"[""customer service"", ""communication"", ""problem solving""]"
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,"The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of the work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, and accepting payment. Report Language Availability: English (USA)","C, P",Yes,No,20.0,[],[],Technical,"[""Hotel Front Desk""]","[""Entry Level""]",Customer Service,"[""Customer Service"", ""Hospitality"", ""Front Desk""]"
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,"The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Report Language Availability: English (USA)","C, P",Yes,No,20.0,[],[],Behavioral,"[""Sales""]","[""Entry Level""]",Sales,"[""Sales"", ""Customer Service"", ""Persuasion""]"
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,"The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for these jobs include, but are not limited to: answer questions or resolve computer problems for clients in person, via telephone, or electronically, provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems. Report Language Availability: English (USA)","P, C",Yes,No,18.0,[],[],Technical,"[""Technical Support""]","[""Entry Level""]",Technical Support,"[""Technical Support"", ""Computer Hardware"", ""Software""]"
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,"Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing.",K,Yes,No,9.0,"[""ETL architecture"", ""data warehousing"", ""dimensions"", ""DBMS concepts"", ""data manipulation"", ""constraints"", ""ETL testing"", ""ETL tools""]","[""Data Engineering"", ""Data Warehousing"", ""Database Management""]",Technical,"[""Data Engineer"", ""Data Architect"", ""ETL Developer""]","[""Junior"", ""Mid-level"", ""Senior""]",Knowledge of ETL architecture and data warehousing concepts,"[""ETL"", ""data warehousing"", ""data engineering"", ""DBMS"", ""data manipulation""]"
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Executive Scenarios Narrative Report: A participant focused report that contains; - Executive Scenarios profile - VERY detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Development tips for each of the 6 style scales; Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support. Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",B,Yes,No,,"[""Managerial Judgement"", ""Decision Making"", ""Problem Solving"", ""Leadership""]","[""Leadership"", ""Management"", ""Decision Making""]",Behavioral,"[""Executive"", ""Manager"", ""Leader""]","[""Senior"", ""Executive""]",Assessing judgement in Executives,"[""Managerial Judgement"", ""Decision Making"", ""Leadership"", ""Problem Solving""]"
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Executive Scenarios Narrative Report: A participant focused report that contains; - Executive Scenarios profile - VERY detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Development tips for each of the 6 style scales; Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support. Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",B,Yes,No,,"[""Managerial Judgement"", ""Decision Making"", ""Problem Solving"", ""Leadership""]","[""Leadership"", ""Management"", ""Decision Making""]",Behavioral,"[""Executive"", ""Manager"", ""Leader""]","[""Senior"", ""Executive""]",Assessing judgement in Executives,"[""Managerial Judgement"", ""Decision Making"", ""Leadership"", ""Problem Solving""]"
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. Reports available: Executive Scenarios Narrative Report: A participant focused report that contains; - Executive Scenarios profile - VERY detailed narrative feedback of each of the 4 scales; Managerial Judgement, Managing Objectives, People Management and Reputation Management. - Development tips for each of the 6 style scales; Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support. Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",B,Yes,No,,[],[],Behavioral,[],[],Managerial Judgement,"[""Executive Scenarios"", ""Managerial Judgement"", ""Hypothetical Scenarios""]"
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,"Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.",K,Yes,No,7.0,"[""routing"", ""error handling"", ""security"", ""middleware"", ""performance & reliability""]",[],Technical,[],[],ExpressJS knowledge,"[""ExpressJS"", ""Multi-choice test"", ""Routing"", ""Error Handling"", ""Security""]"
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.,K,Yes,No,3.0,"[""alphabetical order""]",[],Cognitive,[],[],Sorting names,"[""Filing"", ""Sorting"", ""Alphabetical Order""]"
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab.",K,Yes,No,3.0,"[""Numerical Order Sorting""]","[""Mathematics""]",Technical,"[""Data Entry Clerk""]","[""Entry Level""]",Sorting and Organization,"[""Numerical Order"", ""Sorting"", ""Data Entry""]"
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.",K,Yes,No,9.0,"[""Journal Entries"", ""Financial Statements"", ""Financial Ratios""]","[""Accounting"", ""Finance""]",Technical,"[""Accountant"", ""Financial Analyst""]","[""Mid-Level""]",Financial Knowledge,"[""Financial Accounting"", ""Journal Entries"", ""Financial Statements""]"
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.",K,Yes,No,9.0,"[""Investment Products"", ""Banking Products"", ""Taxation"", ""Macroeconomics""]","[""Finance"", ""Economics""]",Technical,"[""Financial Advisor"", ""Bank Manager""]","[""Mid-Level""]",Financial Knowledge,"[""Financial Services"", ""Investment Products"", ""Banking""]"
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.",K,Yes,No,10.0,"[""Fire engineering principles"", ""Workplace safety"", ""Safety management""]","[""Engineering"", ""Safety""]",Technical,"[""Fire Engineer""]","[""Mid-level""]",Knowledge,"[""Fire engineering"", ""Safety management"", ""Workplace safety"", ""Multi-choice test"", ""Knowledge""]"
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,K,Yes,No,8.0,"[""Following instructions"", ""Rule-based decision making""]","[""Behavioral"", ""Cognitive""]",Behavioral,"[""Operations Manager"", ""Team Lead""]","[""Junior"", ""Mid-level""]",Behavior,"[""Following instructions"", ""Rule-based decision making"", ""Behavioral test"", ""Cognitive test""]"
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,K,Yes,No,8.0,"[""Following instructions"", ""Rule-based decision making""]","[""Behavioral"", ""Cognitive""]",Behavioral,"[""Operations Manager"", ""Team Lead""]","[""Junior"", ""Mid-level""]",Behavior,"[""Following instructions"", ""Rule-based decision making"", ""Behavioral test"", ""Cognitive test""]"
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,"Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.",K,Yes,No,7.0,"[""meal planning"", ""service preparation"", ""service equipment"", ""beverages""]","[""Hospitality"", ""Food Service""]",Technical,"[""Food and Beverage Manager"", ""Server"", ""Bartender""]","[""Junior"", ""Mid-level""]",Knowledge of food and beverage services,"[""food service"", ""meal planning"", ""service preparation"", ""beverages"", ""hospitality""]"
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,"Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.",K,Yes,No,6.0,"[""food chemistry"", ""nutrition"", ""food microbiology"", ""food engineering"", ""food product technology""]","[""Food Science"", ""Food Technology""]",Technical,"[""Food Scientist"", ""Food Engineer"", ""Quality Control Manager""]","[""Mid-level"", ""Senior""]",Knowledge of food science,"[""food science"", ""food chemistry"", ""nutrition"", ""food microbiology"", ""food engineering""]"
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,Multi-choice test that measures the knowledge of front office operations.,K,Yes,No,7.0,"[""front office operations""]","[""Hospitality"", ""Hotel Management""]",Technical,"[""Front Office Manager"", ""Receptionist"", ""Hotel Manager""]","[""Junior"", ""Mid-level""]",Knowledge of front office operations,"[""front office"", ""hotel management"", ""hospitality"", ""reception""]"
